manufacturer part number, manufacturer, quantity, reference designators
CRCW0805270RFKEA, Vishay, 13, R9 R10 R11 R12 R13 R14 R15 R16 R19 R3 R4 R20 R21
MAX3232ECDR, Maxim, 1, U20
C0805C104K5RACTU, Kemet, 9, C1 C2 C3 C4 C7 C5 C9 C15 C17
DF13-4P-1.25H(20), Hirose Electric, 2, JP6 JP7
C0805C103K5RACTU, Kemet, 2, C6 C8
9C-16.000MEEJ-T, TXC Corporation, 1, Q1
08051C220JAT2A, AVX, 2, C10 C11
CRCW08051K50FKEA, Vishay, 2, R17 R18
PIC18F46K22T-I/PT, Microchip, 1, U21
TMK212AB7475KG-T, Taiyo Yuden, 2, C12 C13
TPSA106K006R1500, AVX, 2, C14 C16
22-27-2021, Molex, 1, JP4
HSMG-C170, Broadcom Limited, 1, LED1
DF13-5P-1.25H(20), Hirose Electric, 1, JP3
MCP1703T-3302E/MB, Microchip, 1, U19
ILBB0805ER601V, Vishay, 1, L1
CRCW08055R10FNEA, Vishay, 1, R1
CRCW080510K0FKEB, Vishay, 7, R2 R5 R6 R7 R8 R22 R23
ACPL-224-500E, Broadcom Limited, 7, U1 U2 U3 U4 U5 U6 U7
MBR0540, Fairchild Semiconductor, 1, D2
VO1400AEFTR, Vishay, 10, U8 U9 U10 U11 U12 U13 U14 U15 U16 U17
DF11-18DP-2DSA(08), Hirose Electric, 1, 
DF11-16DP-2DSA(08), Hirose Electric, 1, 
LH1522AAC, Vishay, 1, U18
